	0	1	2	3	4	BT
445	2018/12/07	01:14:10	80	3581	0	36.094770000000004
446	2018/12/07	01:14:20	81	3585	0	36.13509
447	2018/12/07	01:14:30	80	3582	0	36.10485
448	2018/12/07	01:14:40	79	3587	0	36.15525
449	2018/12/07	01:14:50	80	3586	0	36.14517
450	2018/12/07	01:15:00	80	3585	0	36.13509
451	2018/12/07	01:15:10	79	3581	0	36.094770000000004
452	2018/12/07	01:15:20	80	3582	0	36.10485
453	2018/12/07	01:15:30	80	3581	0	36.094770000000004
454	2018/12/07	01:15:40	79	3587	0	36.15525
455	2018/12/07	01:15:50	77	3580	0	36.08469
456	2018/12/07	01:16:00	77	3582	0	36.10485
457	2018/12/07	01:16:10	80	3586	0	36.14517
458	2018/12/07	01:16:20	79	3584	0	36.12501
459	2018/12/07	01:16:30	78	3584	0	36.12501
460	2018/12/07	01:16:40	79	3585	0	36.13509
461	2018/12/07	01:16:50	80	3586	0	36.14517
462	2018/12/07	01:17:00	79	3587	0	36.15525
463	2018/12/07	01:17:10	79	3586	0	36.14517
464	2018/12/07	01:17:20	80	3586	0	36.14517
465	2018/12/07	01:17:30	78	3586	0	36.14517
466	2018/12/07	01:17:40	78	3588	0	36.165330000000004
467	2018/12/07	01:17:50	80	3588	0	36.165330000000004
468	2018/12/07	01:18:00	80	3585	0	36.13509
469	2018/12/07	01:18:10	80	3587	0	36.15525
470	2018/12/07	01:18:20	78	3586	0	36.14517
471	2018/12/07	01:18:30	77	3589	0	36.17541
472	2018/12/07	01:18:40	80	3590	0	36.18549
473	2018/12/07	01:18:50	81	3590	0	36.18549
474	2018/12/07	01:19:00	80	3592	0	36.20565
475	2018/12/07	01:19:10	80	3592	0	36.20565
476	2018/12/07	01:19:20	79	3589	0	36.17541
477	2018/12/07	01:19:30	77	3590	0	36.18549
478	2018/12/07	01:19:40	78	3596	0	36.24597
479	2018/12/07	01:19:50	80	3593	0	36.21573
480	2018/12/07	01:20:00	80	3593	0	36.21573
481	2018/12/07	01:20:10	80	3593	0	36.21573
482	2018/12/07	01:20:20	78	3597	0	36.25605
483	2018/12/07	01:20:30	79	3598	0	36.266130000000004
484	2018/12/07	01:20:40	78	3595	0	36.235890000000005
485	2018/12/07	01:20:50	79	3596	0	36.24597
486	2018/12/07	01:21:00	80	3597	0	36.25605
487	2018/12/07	01:21:10	79	3597	0	36.25605
488	2018/12/07	01:21:20	80	3598	0	36.266130000000004
489	2018/12/07	01:21:30	81	3603	0	36.31653
490	2018/12/07	01:21:40	79	3601	0	36.29637
491	2018/12/07	01:21:50	78	3602	0	36.30645
492	2018/12/07	01:22:00	79	3602	0	36.30645
493	2018/12/07	01:22:10	80	3604	1	36.32661
494	2018/12/07	01:22:20	86	3609	0	36.37701
495	2018/12/07	01:22:30	97	3609	0	36.37701
496	2018/12/07	01:22:40	81	3609	0	36.37701
497	2018/12/07	01:22:50	75	3611	0	36.39717
